date,btc_price,fed_funds_rate,cpi,m2,btc_pct_change,cpi_yoy,m2_yoy
2015-01-01,217.46400451660156,0.11,234.747,11805.2,,,
2015-02-01,254.26300048828125,0.11,235.342,11922.8,16.921879119020076,,
2015-03-01,244.2239990234375,0.11,235.976,11920.5,-3.948274599751067,,
2015-04-01,236.14500427246094,0.12,236.222,11954.6,-3.3080265589301217,,
2015-05-01,230.19000244140625,0.12,237.001,11982.6,-2.521756430715716,,
2015-06-01,263.0719909667969,0.13,237.657,12023.2,14.284716180825697,,
2015-07-01,284.6499938964844,0.13,238.034,12067.0,8.202318631636807,,
2015-08-01,230.05599975585938,0.14,238.033,12112.0,-19.179341405669803,,
2015-09-01,236.05999755859375,0.14,237.498,12173.9,2.6097984008702113,,
2015-10-01,314.1659851074219,0.12,237.733,12225.2,33.087345741177955,,
2015-11-01,377.3210144042969,0.12,238.017,12317.0,20.10244020379246,,
2015-12-01,430.5669860839844,0.24,237.761,12387.9,14.111583942323126,,
2016-01-01,368.7669982910156,0.34,237.652,12526.2,-14.353164499452431,1.2375025026943876,6.107478060515703
2016-02-01,437.6969909667969,0.38,237.336,12599.1,18.69201772263378,0.8472775790126619,5.672325292716485
2016-03-01,416.72900390625,0.36,238.08,12649.6,-4.79052575029868,0.8916160965521946,6.1163541797743415
2016-04-01,448.3179931640625,0.37,238.992,12728.7,7.580223349397341,1.1726257503534843,6.475331671490481
2016-05-01,531.385986328125,0.37,239.557,12796.3,18.52881089554299,1.0784764621246223,6.790679819070977
2016-06-01,673.3369750976562,0.38,240.222,12856.9,26.713348191662334,1.0792865347959424,6.934094084769438
2016-07-01,624.6810302734375,0.39,240.101,12911.3,-7.226091336683538,0.8683633430518256,6.996768045081625
2016-08-01,575.4719848632812,0.4,240.545,12995.8,-7.877467543494365,1.0553158595656864,7.296895640686918
2016-09-01,609.7349853515625,0.4,241.176,13056.7,5.953895478755822,1.5486446201652182,7.2515791981205835
2016-10-01,700.9719848632812,0.4,241.741,13130.0,14.963386012549872,1.685924966243646,7.401105912377703
2016-11-01,745.6909790039062,0.41,242.026,13204.0,6.379569384552086,1.6843334719788938,7.201428919379715
2016-12-01,963.7429809570312,0.54,242.637,13248.7,29.24160384029304,2.0507989115119862,6.948716085857987
2017-01-01,970.4030151367188,0.65,243.618,13324.3,0.6910591632090402,2.5103933482571117,6.371445450336077
2017-02-01,1179.969970703125,0.66,244.006,13391.8,21.595868139061846,2.8103616813294208,6.291719249787664
2017-03-01,1071.7900390625,0.79,243.892,13452.7,-9.168024129983776,2.44119623655914,6.34881735390842
2017-04-01,1347.8900146484375,0.9,244.193,13508.7,25.76064019287243,2.176223471915395,6.127884230125624
2017-05-01,2286.409912109375,0.91,244.004,13561.4,69.62881891411045,1.8563431667619756,5.979072075521841
2017-06-01,2480.840087890625,1.04,244.163,13583.3,8.503732193929924,1.640565809959127,5.649884497818292
2017-07-01,2875.340087890625,1.15,244.243,13640.4,15.901871383230915,1.7251073506566073,5.646991395134493
2017-08-01,4703.39013671875,1.16,245.183,13699.8,63.57682892979797,1.92812155729698,5.417134766616916
2017-09-01,4338.7099609375,1.15,246.435,13748.9,-7.753559989298775,2.1805652303711787,5.301492720212608
2017-10-01,6468.39990234375,1.15,246.626,13808.1,49.08578726350426,2.020757753132485,5.164508758568176
2017-11-01,10233.599609375,1.16,247.284,13841.3,58.20913616777115,2.172493864295566,4.8265677067555135
2017-12-01,14156.400390625,1.3,247.805,13899.7,38.33256069209823,2.129930719552253,4.913689645021768
2018-01-01,10221.099609375,1.41,248.859,13910.2,-27.79873889308847,2.151318868063945,4.3972291227306615
2018-02-01,10397.900390625,1.42,249.529,13947.2,1.7297628240295682,2.263468931091861,4.147314027987292
2018-03-01,6973.52978515625,1.51,249.577,14003.5,-32.93328919130871,2.3309497646499366,4.094345373047781
2018-04-01,9240.5498046875,1.69,250.227,14021.4,32.50893147910252,2.4709963021052994,3.7953318972217875
2018-05-01,7494.169921875,1.7,250.792,14077.4,-18.89909063556592,2.781921607842497,3.8049168964856106
2018-06-01,6404.0,1.82,251.018,14137.7,-14.546906905498158,2.8075506935940187,4.0814824085458
2018-07-01,7780.43994140625,1.91,251.214,14171.1,21.49344068404513,2.854124785561929,3.8906483680830606
2018-08-01,7037.580078125,1.91,251.663,14219.4,-9.547787385747553,2.6429238568742575,3.792756098629191
2018-09-01,6625.56005859375,1.95,252.182,14253.8,-5.8545695389234265,2.332055105808828,3.672293783502667
2018-10-01,6317.60986328125,2.19,252.772,14265.4,-4.647911913696568,2.492032470218053,3.311824219117754
2018-11-01,4017.2685546875,2.2,252.594,14285.7,-36.41157587086258,2.147328577667773,3.2106810776444616
2018-12-01,3742.700439453125,2.27,252.767,14407.5,-6.834696548081121,2.0023809043401064,3.653316258624284
2019-01-01,3457.792724609375,2.4,252.561,14471.5,-7.612356891843053,1.4875893578291333,4.035168437549408
2019-02-01,3854.785400390625,2.4,253.319,14506.7,11.481101020191954,1.5188615351321877,4.01155787541585
2019-03-01,4105.404296875,2.41,254.277,14550.5,6.501500614248945,1.8831863513063984,3.9061663155639748
2019-04-01,5350.7265625,2.42,255.233,14579.0,30.33373026312973,2.000583470209061,3.97677835308885
2019-05-01,8574.501953125,2.39,255.296,14678.3,60.249301715742455,1.7959105553606136,4.268543907255595
2019-06-01,10817.1552734375,2.38,255.213,14798.6,26.154910600902713,1.671194894390049,4.674734928595181
2019-07-01,10085.6279296875,2.4,255.802,14881.8,-6.7626591766352,1.826331335037068,5.015136439655343
2019-08-01,9630.6640625,2.13,256.036,14964.1,-4.511011811652232,1.7376412106666406,5.2372111340844185
2019-09-01,8293.8681640625,2.04,256.43,15062.4,-13.880620170759904,1.6844977040391562,5.672873198725958
2019-10-01,9199.5849609375,1.83,257.155,15197.3,10.9203182273802,1.7339736996186295,6.532589342044393
2019-11-01,7569.6298828125,1.55,257.879,15305.1,-17.71770232076748,2.092290394862917,7.135807135807126
2019-12-01,7193.59912109375,1.55,258.63,15373.7,-4.96762414464359,2.3195274699624457,6.706229394412633
2020-01-01,9350.529296875,1.55,259.127,15443.2,29.984019674608998,2.599767976845202,6.7145769270635425
2020-02-01,8599.5087890625,1.58,259.25,15497.1,-8.031850219040493,2.3413166797595197,6.8271901948754765
2020-03-01,6438.64453125,0.65,258.076,16025.9,-25.127763815543148,1.4940399642909163,10.139857736847535
2020-04-01,8658.5537109375,0.05,256.032,17039.1,34.477896223547646,0.3130472940411133,16.874271212017277
2020-05-01,9461.05859375,0.05,255.802,17886.4,9.268347920493625,0.1982013035848551,21.85607325098957
2020-06-01,9137.9931640625,0.08,257.042,18173.5,-3.4146858566219795,0.7166562831830481,22.80553565877852
2020-07-01,11323.466796875,0.09,258.352,18330.1,23.916341296986676,0.9968647625897997,23.17125616524882
2020-08-01,11680.8203125,0.1,259.316,18396.3,3.155866679660524,1.2810698495523853,22.936227370840868
2020-09-01,10784.4912109375,0.09,259.997,18628.8,-7.673511599209437,1.3910228912373812,23.677501593371563
2020-10-01,13780.9951171875,0.09,260.319,18783.4,27.785306210931694,1.2303863428671624,23.59695472222041
2020-11-01,19625.8359375,0.09,260.911,19012.1,42.41232777902142,1.1757452138405844,24.2206846083985
2020-12-01,29001.720703125,0.09,262.045,19165.9,47.7731740726012,1.3204191315779434,24.666801095377178
2021-01-01,33114.359375,0.09,262.687,19392.5,14.180671257315613,1.3738437137002402,25.573067757977608
2021-02-01,45137.76953125,0.08,263.579,19628.2,36.308750593940786,1.6698167791706853,26.657245549167264
2021-03-01,58918.83203125,0.07,264.961,19852.2,30.531110958991945,2.6678187820641908,23.87572616826512
2021-04-01,57750.17578125,0.07,266.614,20189.0,-1.9835020649767054,4.133077115360573,18.486305027847717
2021-05-01,37332.85546875,0.06,268.383,20457.0,-35.35455959448175,4.918257089467626,14.371813221218343
2021-06-01,35040.8359375,0.08,270.654,20499.2,-6.13941661432399,5.295632620349999,12.797204721159927
2021-07-01,41626.1953125,0.1,271.903,20654.4,18.79338548528313,5.245169381309234,12.68023633258959
2021-08-01,47166.6875,0.09,272.676,20837.0,13.31010952575873,5.152015301793966,13.267341802427657
2021-09-01,43790.89453125,0.08,273.91,21004.6,-7.157155076344934,5.351215590949132,12.753371124280676
2021-10-01,61318.95703125,0.08,276.55,21168.0,40.02672858735883,6.235042390298062,12.695252190764172
2021-11-01,57005.42578125,0.08,278.919,21337.9,-7.034580264960633,6.901970403700863,12.233261975268395
2021-12-01,46306.4453125,0.08,280.845,21494.0,-18.768354629620298,7.174340285065539,12.147094579435347
2022-01-01,38483.125,0.08,282.543,21614.0,-16.894668246945244,7.558805726967832,11.45545958489107
2022-02-01,43193.234375,0.08,284.5,21712.7,12.239415003329391,7.937278766517819,10.61992439449364
2022-03-01,45538.67578125,0.2,287.674,21749.8,5.430112933630005,8.572204966013853,9.558638337312741
2022-04-01,37714.875,0.33,288.561,21780.3,-17.180562778839857,8.231750770777225,7.882014958640848
2022-05-01,31792.310546875,0.77,291.298,21723.2,-15.703524015723236,8.538171195642065,6.18956836290756
2022-06-01,19784.7265625,1.21,294.957,21676.8,-37.76883082049309,8.979361103105798,5.744614423977512
2022-07-01,23336.896484375,1.68,294.913,21676.5,17.954101668545608,8.462576727730099,4.948582384382982
2022-08-01,20049.763671875,2.33,295.097,21644.0,-14.085561097213029,8.222579178218826,3.872918366367517
2022-09-01,19431.7890625,2.56,296.349,21560.6,-3.0822039575552185,8.192106896425821,2.647039219980396
2022-10-01,20495.7734375,3.08,298.007,21465.8,5.475483351418764,7.758813957693,1.406840513983365
2022-11-01,17168.56640625,3.78,298.786,21408.6,-16.233625149087516,7.122856456533988,0.3313353235322891
2022-12-01,16547.49609375,4.1,298.832,21266.4,-3.617484988577191,6.404600402357152,-1.0589001581836732
2023-01-01,23139.283203125,4.33,300.42,21249.4,39.835556219679205,6.327178517960097,-1.6868696215415868
2023-02-01,23147.353515625,4.57,301.45,21226.9,0.034877106732977836,5.957820738137087,-2.237400231201092
